PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COLLEGE,COUNTRY
"Precious
Achiuwa",TOR,5,F,6-8,225 lbs,Memphis,Nigeria
"Steven
Adams",MEM,4,C,6-11,265 lbs,Pittsburgh,New Zealand
"Bam
Adebayo",MIA,13,C-F,6-9,255 lbs,Kentucky,USA
"Santi
Aldama",MEM,7,F-C,6-11,215 lbs,Loyola-Maryland,Spain
"LaMarcus
Aldridge",BKN,21,C-F,6-11,250 lbs,Texas,USA
"Nickeil
Alexander-Walker",NOP,6,G,6-5,205 lbs,Virginia Tech,Canada
"Grayson
Allen",MIL,7,G,6-4,198 lbs,Duke,USA
"Jarrett
Allen",CLE,31,C,6-10,243 lbs,Texas,USA
"Jose
Alvarado",NOP,15,G,6-0,179 lbs,Georgia Tech,USA
"Kyle
Anderson",MEM,1,F-G,6-9,230 lbs,UCLA,USA
"Giannis
Antetokounmpo",MIL,34,F,6-11,242 lbs,Filathlitikos,Greece
"Thanasis
Antetokounmpo",MIL,43,F,6-6,219 lbs,Panathinaikos,Greece
"Carmelo
Anthony",LAL,7,F,6-7,238 lbs,Syracuse,USA
"Cole
Anthony",ORL,50,G,6-3,185 lbs,UNC,USA
"OG
Anunoby",TOR,3,F,6-7,232 lbs,Indiana,United Kingdom
"Trevor
Ariza",LAL,1,F,6-8,215 lbs,UCLA,USA
"D.J.
Augustin",HOU,14,G,5-11,183 lbs,Texas,USA
"Deni
Avdija",WAS,9,F,6-9,210 lbs,Maccabi Tel Aviv,Israel
"Joel
Ayayi",WAS,17,G,6-4,180 lbs,Gonzaga,France
"Deandre
Ayton",PHX,22,C,6-11,250 lbs,Arizona,Bahamas
"Udoka
Azubuike",UTA,20,C-F,7-0,270 lbs,Kansas,Nigeria
"Marvin
Bagley III",SAC,35,F,6-11,235 lbs,Duke,USA
"LaMelo
Ball",CHA,2,G,6-7,180 lbs,Illawarra,USA
"Lonzo
Ball",CHI,2,G,6-6,190 lbs,UCLA,USA
"Mo
Bamba",ORL,5,C,7-0,231 lbs,Texas,USA
"Desmond
Bane",MEM,22,G,6-5,215 lbs,TCU,USA
"Dalano
Banton",TOR,45,F,6-7,204 lbs,Nebraska,Canada
"Harrison
Barnes",SAC,40,F,6-8,225 lbs,UNC,USA
"Scottie
Barnes",TOR,4,F,6-7,225 lbs,Florida State,USA
"RJ
Barrett",NYK,9,F-G,6-6,214 lbs,Duke,Canada
"Will
Barton",DEN,5,G,6-5,181 lbs,Memphis,USA
"Charles
Bassey",PHI,23,C-F,6-9,230 lbs,Western Kentucky,Nigeria
"Keita
Bates-Diop",SAS,31,F,6-8,229 lbs,Ohio State,USA
"Nicolas
Batum",LAC,33,G-F,6-8,230 lbs,Le Mans,France
"Kent
Bazemore",LAL,9,G-F,6-4,195 lbs,Old Dominion,USA
"Darius
Bazley",OKC,7,F,6-8,208 lbs,Princeton HS (OH),USA
"Bradley
Beal",WAS,3,G,6-4,207 lbs,Florida,USA
"Malik
Beasley",MIN,5,G,6-4,187 lbs,Florida State,USA
"DeAndre'
Bembry",BKN,95,G-F,6-5,210 lbs,St. Joseph's (PA),USA
"Davis
Bertans",WAS,42,F,6-10,225 lbs,Baskonia,Latvia
"Patrick
Beverley",MIN,22,G,6-1,180 lbs,Arkansas,USA
"Saddiq
Bey",DET,41,F,6-7,215 lbs,Villanova,USA
"Khem
Birch",TOR,24,C,6-9,233 lbs,UNLV,Canada
"Goga
Bitadze",IND,88,C-F,7-0,250 lbs,Mega Basket,Georgia
"Nemanja
Bjelica",GSW,8,F,6-9,234 lbs,Fenerbahce,Serbia
"Eric
Bledsoe",LAC,12,G,6-1,214 lbs,Kentucky,USA
"Keljin
Blevins",POR,21,G,6-4,200 lbs,Montana State,USA
"Bogdan
Bogdanovic",ATL,13,G,6-6,225 lbs,Fenerbahce,Serbia
"Bojan
Bogdanovic",UTA,44,F,6-7,226 lbs,Fenerbahce,Croatia
"Bol
Bol",DEN,10,C-F,7-2,220 lbs,Oregon,Sudan
"Leandro
Bolmaro",MIN,9,F,6-6,200 lbs,FC Barcelona,Argentina
"Isaac
Bonga",TOR,17,G,6-8,180 lbs,Skyliners Frankfurt,Germany
"Devin
Booker",PHX,1,G,6-5,206 lbs,Kentucky,USA
"Brandon
Boston Jr.",LAC,4,G,6-6,188 lbs,Kentucky,USA
"Chris
Boucher",TOR,25,F-C,6-9,200 lbs,Oregon,Saint Lucia
"James
Bouknight",CHA,5,G,6-4,190 lbs,Connecticut,USA
"Avery
Bradley",LAL,20,G,6-3,180 lbs,Texas,USA
"Tony
Bradley",CHI,13,C-F,6-10,248 lbs,UNC,USA
"Ignas
Brazdeikis",ORL,17,F,6-6,221 lbs,Michigan,Canada
"Mikal
Bridges",PHX,25,F,6-6,209 lbs,Villanova,USA
"Miles
Bridges",CHA,0,F,6-7,225 lbs,Michigan St,USA
"Oshae
Brissett",IND,12,F-G,6-7,210 lbs,Syracuse,Canada
"Malcolm
Brogdon",IND,7,G,6-5,229 lbs,Virginia,USA
"Armoni
Brooks",HOU,7,G,6-3,195 lbs,Houston,USA
"Dillon
Brooks",MEM,24,G-F,6-7,225 lbs,Oregon,Canada
"Bruce
Brown",BKN,1,G-F,6-4,202 lbs,Miami,USA
"Jaylen
Brown",BOS,7,G-F,6-6,223 lbs,California,USA
