PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Kevin Durant,19,35.6,28.6,10.4,19.0,54.8,1.9,4.7,41.1,5.8,6.8,85.4,0.5,7.2,7.6,5.4,0.7,0.6,3.1,30.4
Stephen Curry,19,34.2,28.6,9.4,20.2,46.6,5.5,13.1,42.3,4.3,4.5,94.2,0.5,5.3,5.8,6.8,1.8,0.5,3.3,29.3
Giannis Antetokounmpo,20,32.4,27.0,9.6,18.2,52.6,1.2,4.2,27.7,6.8,10.1,67.2,1.8,10.0,11.8,5.9,1.1,1.8,3.1,32.6
Nikola Jokic,14,32.4,26.4,10.3,17.4,59.3,1.8,4.4,41.0,4.0,5.4,74.7,2.7,10.9,13.6,6.4,1.2,0.9,3.2,36.8
Trae Young,21,33.8,26.0,9.1,19.6,46.5,2.7,6.8,39.4,5.1,5.7,89.2,0.6,3.0,3.6,9.0,0.9,0.1,3.8,24.7
Paul George,20,35.6,25.9,9.5,22.1,42.8,2.9,8.7,33.3,4.1,4.6,89.0,0.5,7.1,7.5,5.2,1.8,0.5,4.2,23.5
DeMar DeRozan,21,35.0,25.8,9.0,18.7,48.3,0.9,2.7,33.9,6.8,7.6,89.9,0.7,4.5,5.2,4.1,1.0,0.4,2.1,23.9
Luka Doncic,15,35.3,25.5,9.5,21.7,44.0,2.6,8.3,31.5,3.9,5.7,68.2,0.7,7.4,8.1,8.1,1.2,0.7,4.3,25.4
Zach LaVine,21,34.7,25.3,9.3,19.3,48.4,2.9,7.5,38.9,3.8,4.3,86.8,0.4,4.8,5.1,3.7,0.5,0.3,2.7,21.8
Jayson Tatum,21,36.6,24.3,8.6,21.8,39.5,2.7,8.4,31.6,4.4,5.5,80.0,1.2,7.3,8.5,3.7,1.0,0.8,2.7,21.3
Anthony Davis,21,35.8,24.2,9.6,18.5,51.7,0.4,2.1,20.5,4.7,6.4,73.1,3.0,7.2,10.1,3.0,1.3,2.3,2.0,28.3
Ja Morant,19,32.6,24.1,8.9,18.8,47.6,1.6,4.6,35.6,4.6,5.9,77.7,1.3,4.3,5.6,6.8,1.6,0.3,3.2,24.0
Devin Booker,20,33.1,23.9,8.8,19.2,45.8,2.5,6.1,41.0,3.8,4.5,85.4,0.9,4.2,5.1,4.7,1.0,0.3,2.8,21.0
Jimmy Butler,17,34.2,23.6,7.9,15.3,51.9,0.4,1.8,20.0,7.4,8.6,85.0,1.6,4.2,5.8,5.3,2.1,0.3,1.9,26.5
Bradley Beal,17,35.9,23.2,8.8,20.1,44.0,1.8,6.4,27.5,3.8,4.1,92.9,0.8,4.4,5.2,5.9,1.1,0.4,3.9,20.3
Karl-Anthony Towns,20,34.5,23.1,8.2,16.2,50.8,2.7,6.1,44.6,4.0,4.8,82.3,2.8,6.3,9.1,3.3,1.2,1.1,3.3,25.6
Donovan Mitchell,19,32.2,22.8,8.5,20.1,42.5,2.9,9.1,32.0,2.9,3.3,87.3,1.1,3.4,4.4,5.1,1.7,0.2,2.9,19.4
Anthony Edwards,20,36.1,22.1,8.3,19.3,43.1,3.1,8.8,34.7,2.4,3.2,75.0,1.6,5.0,6.6,3.5,1.5,0.7,3.4,19.2
Damian Lillard,19,35.9,22.0,7.5,18.7,39.9,2.8,9.4,30.3,4.2,4.6,90.9,0.4,3.4,3.8,7.9,0.7,0.4,2.6,20.5
Tyler Herro,18,33.6,21.8,8.3,18.2,45.4,2.9,7.4,39.8,2.3,2.6,87.2,0.7,5.0,5.7,3.7,0.6,0.1,2.9,18.7
Russell Westbrook,22,36.3,20.6,7.6,17.1,44.6,1.4,4.4,31.3,4.0,5.7,69.0,1.4,7.0,8.4,8.7,1.3,0.2,4.7,23.1
Kristaps Porzingis,13,30.8,20.5,7.2,15.8,45.6,1.8,5.6,32.9,4.2,4.7,88.5,2.5,5.5,8.1,2.0,1.0,1.5,1.5,22.3
Malcolm Brogdon,17,35.0,20.4,7.3,15.9,45.8,2.1,6.2,33.3,3.8,4.2,88.9,1.0,4.8,5.8,5.9,0.6,0.6,2.5,21.9
CJ McCollum,20,35.4,20.4,7.9,18.5,42.8,3.3,8.3,40.0,1.3,1.8,69.4,1.2,3.2,4.4,4.4,1.1,0.7,2.0,17.8
James Harden,20,35.3,20.3,5.8,14.2,40.6,2.7,7.5,36.2,6.1,6.8,89.7,1.0,6.9,7.9,9.4,1.4,0.8,5.0,25.7
Miles Bridges,22,36.2,20.3,7.5,16.5,45.3,2.2,6.8,32.9,3.1,4.1,76.7,1.5,5.9,7.4,3.3,1.3,0.9,1.8,21.4
De'Aaron Fox,21,34.7,20.2,7.7,17.9,42.9,1.1,4.4,25.8,3.8,5.2,72.5,0.6,2.9,3.5,5.6,1.2,0.5,3.0,16.4
OG Anunoby,15,37.3,20.1,7.6,17.7,43.0,2.7,7.5,36.6,2.2,2.7,82.5,1.6,3.8,5.4,2.7,1.5,0.6,1.7,18.2
Shai Gilgeous-Alexander,17,34.8,20.1,7.0,17.4,40.3,2.1,6.9,30.8,4.0,5.0,80.0,0.6,4.6,5.2,4.6,1.1,0.5,2.5,17.6
Fred VanVleet,20,38.2,20.1,7.2,16.4,44.0,3.2,8.2,39.3,2.5,3.0,84.7,0.9,4.2,5.0,6.5,1.7,0.7,3.2,21.2
Jerami Grant,19,32.7,19.7,6.5,15.9,40.9,1.9,5.7,33.3,4.8,5.7,83.5,1.0,3.8,4.8,2.4,1.2,0.9,1.9,16.8
Cole Anthony,16,34.1,19.6,6.7,16.1,41.6,2.8,7.7,36.6,3.4,4.0,85.9,0.6,6.2,6.8,5.9,1.1,0.3,2.9,20.8
LaMelo Ball,22,33.0,19.4,7.1,17.2,41.4,2.7,7.1,37.8,2.5,2.7,90.0,1.5,6.3,7.9,8.0,1.9,0.4,3.1,24.0
D'Angelo Russell,18,31.9,19.3,6.8,16.9,40.1,2.9,8.6,34.2,2.8,3.4,80.6,0.4,3.2,3.6,5.8,0.9,0.8,2.7,16.9
Julius Randle,20,35.0,19.2,6.8,16.4,41.2,1.9,5.6,33.0,3.9,5.1,75.5,1.9,8.3,10.2,5.0,0.7,0.7,3.3,21.6
Andrew Wiggins,20,30.2,19.0,7.1,14.3,49.7,2.0,5.2,37.5,2.9,3.9,73.1,1.2,3.4,4.6,1.6,0.9,0.6,1.8,16.6
Harrison Barnes,19,35.0,19.0,5.8,12.1,47.8,1.9,4.9,39.8,5.5,6.5,84.6,1.4,5.8,7.2,2.4,1.0,0.2,2.1,20.4
Dejounte Murray,18,34.8,18.9,8.1,18.0,44.8,1.2,3.9,31.4,1.6,2.4,67.4,0.8,7.6,8.4,8.1,2.1,0.5,2.4,24.9
Darius Garland,18,34.6,18.7,7.1,15.6,45.4,2.6,7.3,35.1,2.0,2.4,83.7,0.4,2.2,2.6,7.1,1.3,0.1,3.7,17.1
Tyrese Maxey,20,35.9,18.5,7.0,14.2,49.1,1.3,3.3,38.5,3.4,3.8,88.2,0.3,3.3,3.6,4.9,0.8,0.6,1.4,19.3
Jonas Valanciunas,22,31.5,18.5,7.0,14.0,50.3,1.0,2.3,46.0,3.3,3.9,85.9,3.3,9.0,12.3,2.4,0.5,0.9,2.1,25.0
